date,adjusted_close,close,high,low,open,volume
,ASML,ASML,ASML,ASML,ASML,ASML
2020-08-17,364.91925048828125,378.510009765625,380.5,376.25,376.6600036621094,428200
2020-08-18,363.67559814453125,377.2200012207031,383.9800109863281,376.989990234375,383.6099853515625,466500
2020-08-19,361.4775085449219,374.94000244140625,380.42999267578125,373.9599914550781,380.3900146484375,354400
2020-08-20,358.8069763183594,372.1700134277344,373.3800048828125,368.3800048828125,369.5400085449219,498200
2020-08-21,358.75872802734375,372.1199951171875,372.1300048828125,365.5400085449219,366.1499938964844,605400
2020-08-24,364.41796875,377.989990234375,380.79998779296875,374.5299987792969,380.25,590700
2020-08-25,367.1559753417969,380.8299865722656,380.8299865722656,376.2699890136719,379.29998779296875,378200
2020-08-26,372.06329345703125,385.9200134277344,386.6700134277344,380.0799865722656,380.0899963378906,417600
2020-08-27,362.71148681640625,376.2200012207031,386.79998779296875,373.239990234375,386.7200012207031,636100
2020-08-28,365.84478759765625,379.4700012207031,379.8900146484375,374.79998779296875,376.1199951171875,490200
2020-08-31,360.7447204589844,374.17999267578125,378.44000244140625,373.30999755859375,375.9200134277344,533300
2020-09-01,373.0080261230469,386.8999938964844,386.8999938964844,382.3299865722656,384.1099853515625,634500
2020-09-02,384.18182373046875,398.489990234375,401.1499938964844,390.489990234375,395.6600036621094,904300
2020-09-03,362.6537170410156,376.1600036621094,389.30999755859375,370.0799865722656,389.1000061035156,1258500
2020-09-04,354.2274475097656,367.4200134277344,371.0,352.8599853515625,365.5,1206300
2020-09-08,334.87811279296875,347.3500061035156,353.3900146484375,343.25,345.3699951171875,1541000
2020-09-09,346.4665222167969,359.3699951171875,361.5400085449219,353.510009765625,357.9700012207031,847300
2020-09-10,344.1816101074219,357.0,366.80999755859375,355.0299987792969,364.2699890136719,678600
2020-09-11,346.33148193359375,359.2300109863281,367.1499938964844,357.5899963378906,364.0,678700
2020-09-14,354.72882080078125,367.94000244140625,369.9800109863281,365.3599853515625,369.7699890136719,575700
2020-09-15,356.9558410644531,370.25,374.760009765625,369.1000061035156,374.54998779296875,717100
2020-09-16,349.368408203125,362.3800048828125,372.9800109863281,362.3599853515625,372.0,973900
2020-09-17,353.57183837890625,366.739990234375,367.6300048828125,355.1400146484375,355.510009765625,901000
2020-09-18,353.18621826171875,366.3399963378906,370.9100036621094,359.92999267578125,370.2900085449219,912200
2020-09-21,349.5998229980469,362.6199951171875,363.0,352.57000732421875,355.30999755859375,657900
2020-09-22,351.5472717285156,364.6400146484375,365.1000061035156,358.7300109863281,363.989990234375,971200
2020-09-23,344.7215270996094,357.55999755859375,366.5799865722656,356.92999267578125,365.2099914550781,709800
2020-09-24,347.2281494140625,360.1600036621094,363.5899963378906,353.67999267578125,354.6499938964844,768400
2020-09-25,347.53668212890625,360.4800109863281,361.1099853515625,351.0899963378906,352.82000732421875,724100
2020-09-28,357.73681640625,371.05999755859375,371.489990234375,364.3500061035156,365.8999938964844,821900
2020-09-29,360.5711975097656,374.0,375.8800048828125,369.57000732421875,370.07000732421875,608800
2020-09-30,356.01104736328125,369.2699890136719,373.25,367.5,368.7799987792969,867800
2020-10-01,368.2936096191406,382.010009765625,382.6499938964844,374.4200134277344,375.5299987792969,891600
2020-10-02,356.71484375,370.0,375.7200012207031,370.0,372.3999938964844,711600
2020-10-05,368.38995361328125,382.1099853515625,382.3999938964844,374.9100036621094,375.1499938964844,649900
2020-10-06,356.82086181640625,370.1099853515625,377.3800048828125,368.55999755859375,374.20001220703125,686600
2020-10-07,362.3065490722656,375.79998779296875,376.5299987792969,371.6300048828125,374.42999267578125,550900
2020-10-08,367.21380615234375,380.8900146484375,380.95001220703125,376.44000244140625,376.7699890136719,686700
2020-10-09,375.0229797363281,388.989990234375,389.9800109863281,385.7699890136719,385.79998779296875,539300
2020-10-12,384.7121276855469,399.0400085449219,401.0,395.42999267578125,395.42999267578125,840300
2020-10-13,390.60272216796875,405.1499938964844,409.1099853515625,398.2799987792969,401.510009765625,1027900
2020-10-14,383.7383728027344,398.0299987792969,406.0,395.5,402.6400146484375,954800
2020-10-15,372.68988037109375,386.57000732421875,387.9200134277344,380.7200012207031,383.79998779296875,786200
2020-10-16,373.0080261230469,386.8999938964844,392.3800048828125,385.8699951171875,390.760009765625,594500
2020-10-19,371.47509765625,385.30999755859375,392.2699890136719,383.7900085449219,392.19000244140625,392700
2020-10-20,371.1377258300781,384.9599914550781,389.2699890136719,384.260009765625,386.82000732421875,356800
2020-10-21,369.248046875,383.0,389.2900085449219,382.9800109863281,385.6499938964844,359100
2020-10-22,362.0173645019531,375.5,382.0899963378906,375.3999938964844,381.1000061035156,611700
2020-10-23,364.9675598144531,378.55999755859375,379.55999755859375,374.1400146484375,378.8399963378906,467600
2020-10-26,354.2949523925781,367.489990234375,374.8800048828125,364.0,371.54998779296875,900400
2020-10-27,353.21514892578125,366.3699951171875,370.5400085449219,364.4599914550781,368.4100036621094,968700
2020-10-28,349.8311767578125,362.8599853515625,365.07000732421875,357.3800048828125,359.4700012207031,953100
